drug,cluster,moa_fine,moa_broad
(R)-Verapamil (hydrochloride),3,unclear,inhibitor/antagonist
(S)-Crizotinib,4,unclear,inhibitor/antagonist
18β-Glycyrrhetinic acid,3,unclear,unclear
4EGI-1,1,Protein synthesis inhibitor,inhibitor/antagonist
5-Azacytidine,1,DNA methyltransferase inhibitor,inhibitor/antagonist
5-Fluorouracil,2,DNA synthesis/repair inhibitor,inhibitor/antagonist
8-Hydroxyquinoline,3,unclear,unclear
9-ING-41,1,GSK3 inhibitor,inhibitor/antagonist
APTO-253,1,unclear,unclear
AT7519,1,CDK inhibitor,inhibitor/antagonist
AZD-7648,1,DNA synthesis/repair inhibitor,inhibitor/antagonist
AZD-8055,1,MTOR inhibitor,inhibitor/antagonist
AZD1390,1,unclear,inhibitor/antagonist
AZD2858,1,GSK3 inhibitor,inhibitor/antagonist
Abemaciclib,1,CDK inhibitor,inhibitor/antagonist
Abiraterone acetate,2,unclear,inhibitor/antagonist
Acetazolamide,2,unclear,inhibitor/antagonist
Acetohexamide,3,unclear,activator/agonist
Adagrasib,4,RAS inhibitor,inhibitor/antagonist
Adenine,3,unclear,unclear
Adenosine,3,unclear,unclear
Afatinib,1,EGFR/ERBB inhibitor,inhibitor/antagonist
Aliskiren,3,unclear,inhibitor/antagonist
Allantoin,3,unclear,unclear
Allopurinol,2,unclear,inhibitor/antagonist
Almonertinib (hydrochloride),3,EGFR/ERBB inhibitor,inhibitor/antagonist
Almonertinib (mesylate),2,EGFR/ERBB inhibitor,inhibitor/antagonist
Alpelisib,1,PI3K/AKT inhibitor,inhibitor/antagonist
Altretamine,4,DNA synthesis/repair inhibitor,unclear
Amsacrine,1,DNA synthesis/repair inhibitor,inhibitor/antagonist
Anastrozole,1,unclear,inhibitor/antagonist
Anethole trithione,3,unclear,unclear
Apalutamide,4,Androgen receptor antagonist,inhibitor/antagonist
Aprepitant,2,unclear,inhibitor/antagonist
Arbutin,2,unclear,inhibitor/antagonist
Artemether,2,unclear,unclear
Artesunate,3,JAK/STAT inhibitor,inhibitor/antagonist
Asciminib,2,Other TK inhibitor,inhibitor/antagonist
Aspirin,2,Cyclooxygenase inhibitor,inhibitor/antagonist
Ataluren,2,unclear,inhibitor/antagonist
Atazanavir (sulfate),2,unclear,inhibitor/antagonist
Auranofin,1,unclear,inhibitor/antagonist
Azithromycin (hydrate),3,unclear,unclear
BAY1125976,1,PI3K/AKT inhibitor,inhibitor/antagonist
BI-3406,1,RAS inhibitor,inhibitor/antagonist
BI-78D3,1,Other MAPK inhibitor,inhibitor/antagonist
Baicalin,3,unclear,activator/agonist
Balsalazide (sodium hydrate),3,JAK/STAT inhibitor,unclear
Belinostat,1,HDAC inhibitor,inhibitor/antagonist
Belumosudil,1,unclear,inhibitor/antagonist
Belumosudil (mesylate),1,unclear,inhibitor/antagonist
Belzutifan,1,unclear,inhibitor/antagonist
Bendamustine,2,DNA synthesis/repair inhibitor,unclear
Benproperine (phosphate),4,unclear,inhibitor/antagonist
Bentamapimod,1,Other MAPK inhibitor,inhibitor/antagonist
Benztropine (mesylate),2,unclear,inhibitor/antagonist
Berbamine,3,unclear,inhibitor/antagonist
